tributary name,corresponding lake,longitude,latitude
St.Louis River,Superior,-92.4188018,46.7032765
Saginaw River,Huron,-83.951918,43.4219699
Fox River,Michigan,-88.01,44.5286111
Portage-Burns Waterway,Michigan,-87.1758685,41.62225939
Vermilion River,Erie,-82.3168273,41.38199
Genesee River,Ontario,-77.6163056,43.1417222
