ID,Species,AAM,Loc,Loc_type,Condition,habitat,Code,Sp_Code,Latitude,Longitude,AnnualTemp,WarmTemp,ColdTemp,AnnualDD,AnnualDD.5,AnnualDD.10
15,Grass,8.5,Cen_Russia,calculated,artificial,fish farm,C,AP,55.2882,41.1226,4.6,17.8,-9.3,2849.362526,1800.881605,967.6340904
51,Grass,10,Moscow,specific,artificial,fish farm,C,AP,55.7558,37.6172,4.9,17.3,-7.9,2939.506954,1841.190361,991.8739561
78,Bighead,6,Terek,calculated,natural,river,D,P,43.4504,46.2264,11.7,23.9,-0.7,4479.235562,3022.422473,1888.471463
26,Grass,5,Daghestan_Terek,calculated,natural,river,D,AQ,43.7707,47.0561,11.6,23.9,-0.6,4743.79606,3227.098571,2054.453756
79,Grass,5,Terek,calculated,natural,river,D,AQ,43.4504,46.2264,11.7,23.9,-0.7,4479.235562,3022.422473,1888.471463
80,Silver,5,Terek,calculated,natural,river,D,BX,43.4504,46.2264,11.7,23.9,-0.7,4479.235562,3022.422473,1888.471463
27,Bighead,8.5,Dnieper,calculated,natural,river,E,F,51.2448,30.725,7.5,18.7,-4.5,3476.98075,2223.207401,1247.228562
39,Bighead,8.5,Kiev,specific,artificial,fish farm,E,F,50.4547,30.5238,8.1,19.2,-3.8,3698.404562,2407.936574,1395.088776
40,Grass,8.5,Kiev,specific,artificial,fish farm,E,AR,50.4547,30.5238,8.1,19.2,-3.8,3698.404562,2407.936574,1395.088776
31,Black,6.5,Hamaapil,specific,,,F,S,32.3778,34.9833,20.2,26,14.1,7518.547137,5692.356661,3869.44439
28,Grass,4.5,Dor,specific,artificial,pond,F,AS,32.6074,34.922,20.3,26.3,13.8,7497.847148,5671.656672,3852.647104
35,Bighead,3,Israel,calculated,na,na,F,G,31.4683,35.0584,17.5,23.5,10.4,7127.393497,5301.566898,3510.03078
43,Black,8.5,Leninskoye,specific,,,G,U,47.9297,132.6499,1.9,20.1,-19.3,3079.462148,2074.114758,1235.688509
45,Grass,8.5,Low_Amur,calculated,natural,river,G,AT,48.0073,133.0803,1.6,19.9,-19.7,2979.814027,1985.386442,1166.177139
44,Grass,9.5,Leninskoye,specific,natural,river,G,AT,47.9297,132.6499,1.9,20.1,-19.3,3079.462148,2074.114758,1235.688509
63,Bighead,6,Romania,calculated,?,pond (requested),H,M,45.8419,25.5195,8.1,17.6,-2.7,2832.182061,1632.541383,746.6624766
61,Black,4,Nucet_farm,specific,,,H,X,44.8,25.55,10.1,20.2,-1.2,4168.379654,2740.732606,1602.78818
64,Grass,6.5,Romania,calculated,na,na,H,AU,45.8419,25.5195,8.1,17.6,-2.7,2832.182061,1632.541383,746.6624766
1,Grass,3,Alabama,calculated,na,na,I,AV,32.3508,-87.0124,18.2,27,9.1,6932.939344,5148.685472,3512.437469
5,Black,7.167,Amur_river,calculated,,,J,Q,53.2024,124.9597,-3.1,17,-25.4,2389.377077,1525.58232,831.3771999
6,Grass,8.357,Amur_river,calculated,natural,river,J,AW,53.2024,124.9597,-3.1,17,-25.4,2389.377077,1525.58232,831.3771999
7,Silver,6.375,Amur_river,calculated,natural,river,J,BJ,53.2024,124.9597,-3.1,17,-25.4,2389.377077,1525.58232,831.3771999
8,Grass,3.5,Arkansas,calculated,artificial,fish farm,K,AX,35.4877,-92.2701,14.9,25.2,3.7,6021.899695,4349.709868,2904.060007
9,Grass,5,Balkhash,calculated,natural,lake,L,AY,45.7665,74.2302,7.7,23.1,-8.9,4079.947573,2897.774657,1880.699899
11,Grass,3.5,Balyktchy ,calculated,artificial,fish farm,M,AZ,41.3,69.2667,14.7,26.4,2.8,5658.168911,4055.17702,2699.131044
