Location,N_lat,N_long,E_lat,E_long,S_lat,S_long,W_lat,W_long
Hunan,30.1124,110.9229,28.3528,114.2604,24.6368,111.5332,27.0845,108.7916
Taihu Lake,31.5454,120.2253,31.1949,120.64518,30.9265,120.25,31.2267,119.8971
Hongze Lake,33.4467,118.7552,33.3485,118.8796,33.0458,118.6915,33.2452,118.2182
Heilong Jiang,53.5505,123.6295,48.3705,134.7667,43.4358,130.8861,47.3395,122.3982
Pingjiang County,29.1041,113.816,28.7615,114.1571,28.4218,113.7122,28.7801,113.1775
Shixing County (Guangdong),25.1442,114.126,24.8778,114.4042,24.5189,113.9991,24.6216,113.882
Hongshuihe River,0,0,0,0,0,0,0,0
Mississippi River,0,0,0,0,0,0,0,0
