"","loc.name","Latitude","Longitude"
"1","Hunan","27.5603","111.3726"
"2","Taihu Lake","31.2236","120.2544"
"3","Hongze Lake","33.2718","118.636"
"4","Heilong Jiang","48.2861","128.0737"
"5","Pingjiang County","28.7673","113.7156"
"6","Shixing County (Guangdong)","25.3726","121.4613"
"7","Hongshuihe River","0","0"
"8","Mississippi River","0","0"
